Date,Revenue
01.2017,"655.788,00"
02.2017,"877.195,00"
03.2017,"1.357.728,00"
04.2017,"2.023.950,00"
05.2017,"1.901.685,00"
06.2017,"1.374.751,00"
07.2017,"2.044.924,00"
08.2017,"1.588.560,00"
09.2017,"1.662.167,00"
10.2017,"2.174.233,00"
11.2017,"2.013.011,00"
12.2017,"1.917.151,00"
01.2018,"1.113.699,00"
02.2018,"1.224.579,00"
03.2018,"1.865.660,00"
04.2018,"2.223.539,00"
05.2018,"2.185.426,00"
06.2018,"1.906.850,00"
07.2018,"2.731.855,00"
08.2018,"1.763.150,00"
09.2018,"2.552.396,00"
10.2018,"2.442.935,00"
11.2018,"2.830.301,00"
12.2018,"1.929.954,00"
01.2019,"939.322,00"
02.2019,"1.318.838,00"
03.2019,"1.908.685,00"
04.2019,"2.314.726,00"
05.2019,"1.761.847,00"
06.2019,"1.728.512,00"
07.2019,"2.755.475,00"
08.2019,"1.834.976,00"
09.2019,"2.540.253,00"
10.2019,"2.528.025,00"
11.2019,"2.095.185,00"
12.2019,"2.255.257,00"
01.2020,"1.174.139,00"
02.2020,"1.312.160,00"
03.2020,"2.617.928,00"
04.2020,"1.694.575,00"
05.2020,"2.107.031,00"
06.2020,"3.533.362,00"
07.2020,"3.918.943,00"
08.2020,"3.917.212,00"
09.2020,"3.652.724,00"
10.2020,"4.823.930,00"
11.2020,"6.913.644,00"
12.2020,"4.609.696,00"
01.2021,"3.476.260,00"
02.2021,"3.779.220,00"
03.2021,"5.879.973,00"
04.2021,"4.425.295,00"
05.2021,"3.691.552,00"
06.2021,"5.303.525,00"
07.2021,"5.991.340,00"
08.2021,"6.033.081,00"
09.2021,"5.521.249,00"
10.2021,"4.859.761,00"
11.2021,"4.667.582,00"
12.2021,"5.599.913,00"
01.2022,"3.655.592,00"
02.2022,"4.625.213,00"
03.2022,"4.841.544,00"
04.2022,"4.734.778,00"
05.2022,"5.500.107,00"
06.2022,"5.832.504,00"
07.2022,"9.161.533,00"
08.2022,"8.674.296,00"
09.2022,"8.690.326,00"
10.2022,"9.866.093,00"
11.2022,"8.270.421,00"
12.2022,"10.017.465,00"
01.2023,"8.536.709,00"
02.2023,"5.352.674,00"
03.2023,"16.162.287,00"
04.2023,"11.695.263,00"
05.2023,"22.858.468,00"
06.2023,"14.411.584,00"
07.2023,"21.646.101,00"
08.2023,"24.838.339,00"
09.2023,"17.363.405,00"
10.2023,"34.921.112,00"
11.2023,"20.450.001,00"
12.2023,"20.053.496,00"
01.2024,"17.526.502,00"
02.2024,"15.548.404,00"
03.2024,"26.663.801,00"
04.2024,"19.524.381,00"
05.2024,"29.770.542,00"
06.2024,"21.574.399,00"
07.2024,"45.442.750,00"
08.2024,"41.663.912,00"
09.2024,"42.111.014,00"
10.2024,"40.761.402,00"
11.2024,"10.749.811,00"